,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2016,4,SH.STA.SUIC.P5,AFG,Afghanistan,South Asia,Low income,IDA
1,2017,4.1,SH.STA.SUIC.P5,AFG,Afghanistan,South Asia,Low income,IDA
2,2018,4.1,SH.STA.SUIC.P5,AFG,Afghanistan,South Asia,Low income,IDA
3,2019,4.1,SH.STA.SUIC.P5,AFG,Afghanistan,South Asia,Low income,IDA
4,2016,4.7,SH.STA.SUIC.P5,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
5,2017,4.7,SH.STA.SUIC.P5,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
6,2018,4.5,SH.STA.SUIC.P5,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
7,2019,4.3,SH.STA.SUIC.P5,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
8,2016,2.6,SH.STA.SUIC.P5,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
9,2017,2.5,SH.STA.SUIC.P5,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
10,2018,2.5,SH.STA.SUIC.P5,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
11,2019,2.5,SH.STA.SUIC.P5,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
12,2016,6.2,SH.STA.SUIC.P5,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
13,2017,6,SH.STA.SUIC.P5,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
14,2018,6,SH.STA.SUIC.P5,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
15,2019,6.1,SH.STA.SUIC.P5,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
16,2016,0.5,SH.STA.SUIC.P5,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
17,2017,0,SH.STA.SUIC.P5,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
18,2018,0.4,SH.STA.SUIC.P5,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
19,2019,0.4,SH.STA.SUIC.P5,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
20,2016,8.3,SH.STA.SUIC.P5,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
21,2017,8.9,SH.STA.SUIC.P5,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
22,2018,9.2,SH.STA.SUIC.P5,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
23,2019,8.4,SH.STA.SUIC.P5,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
24,2016,5.7,SH.STA.SUIC.P5,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
25,2017,3,SH.STA.SUIC.P5,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
26,2018,2.1,SH.STA.SUIC.P5,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
27,2019,3.3,SH.STA.SUIC.P5,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
28,2016,12.2,SH.STA.SUIC.P5,AUS,Australia,East Asia & Pacific,High income,Not classified
29,2017,13.1,SH.STA.SUIC.P5,AUS,Australia,East Asia & Pacific,High income,Not classified
30,2018,12.4,SH.STA.SUIC.P5,AUS,Australia,East Asia & Pacific,High income,Not classified
31,2019,12.5,SH.STA.SUIC.P5,AUS,Australia,East Asia & Pacific,High income,Not classified
32,2016,15.5,SH.STA.SUIC.P5,AUT,Austria,Europe & Central Asia,High income,Not classified
33,2017,15.4,SH.STA.SUIC.P5,AUT,Austria,Europe & Central Asia,High income,Not classified
34,2018,15.7,SH.STA.SUIC.P5,AUT,Austria,Europe & Central Asia,High income,Not classified
35,2019,14.6,SH.STA.SUIC.P5,AUT,Austria,Europe & Central Asia,High income,Not classified
36,2016,4,SH.STA.SUIC.P5,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
37,2017,4,SH.STA.SUIC.P5,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
38,2018,4,SH.STA.SUIC.P5,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
39,2019,4.1,SH.STA.SUIC.P5,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
40,2016,3.6,SH.STA.SUIC.P5,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
41,2017,3.4,SH.STA.SUIC.P5,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
42,2018,3.5,SH.STA.SUIC.P5,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
43,2019,3.5,SH.STA.SUIC.P5,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
44,2016,7.7,SH.STA.SUIC.P5,BHR,Bahrain,Middle East & North Africa,High income,Not classified
45,2017,8.1,SH.STA.SUIC.P5,BHR,Bahrain,Middle East & North Africa,High income,Not classified
46,2018,8.6,SH.STA.SUIC.P5,BHR,Bahrain,Middle East & North Africa,High income,Not classified
47,2019,8.9,SH.STA.SUIC.P5,BHR,Bahrain,Middle East & North Africa,High income,Not classified
48,2016,3.4,SH.STA.SUIC.P5,BGD,Bangladesh,South Asia,Lower middle income,IDA
